         650387 function calls (643675 primitive calls) in 250.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  185.733  185.733 /Users/martasolarz/Studies/project/film_ranking/data_analysis/load_data.py:10(load_all_data)
        8    0.000    0.000  185.733   23.217 /Users/martasolarz/Studies/project/film_ranking/data_analysis/load_data.py:21(load_data_wrapper)
        8    0.000    0.000  185.731   23.216 /Users/martasolarz/Studies/project/film_ranking/data_analysis/load_data.py:64(load_data)
        8    0.001    0.000  185.730   23.216 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/parsers/readers.py:814(read_csv)
        8    2.652    0.332  185.729   23.216 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/parsers/readers.py:540(_read)
        8    0.000    0.000  183.052   22.882 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/parsers/readers.py:1688(read)
        8    0.000    0.000  164.916   20.615 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
        8  162.673   20.334  164.915   20.614 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
        1    0.707    0.707   59.493   59.493 /Users/martasolarz/Studies/project/film_ranking/data_analysis/data_processing.py:8(process_data_and_merge)
        1    1.068    1.068   47.303   47.303 /Users/martasolarz/Studies/project/film_ranking/data_analysis/data_processing.py:157(merge_data)
       13    0.062    0.005   46.267    3.559 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:9824(merge)
       13    0.017    0.001   46.205    3.554 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/merge.py:131(merge)
       13    1.232    0.095   45.971    3.536 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/merge.py:805(get_result)
       13    0.000    0.000   38.871    2.990 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/merge.py:1042(_get_join_info)
       13    0.040    0.003   38.870    2.990 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/merge.py:1036(_get_join_indexers)
       13    0.064    0.005   38.830    2.987 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/merge.py:1619(get_join_indexers)
       28    0.298    0.011   36.850    1.316 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/merge.py:2312(_factorize_keys)
       28    0.310    0.011   34.179    1.221 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/merge.py:1661(<genexpr>)
       26   33.671    1.295   33.671    1.295 {method 'factorize' of 'pandas._libs.hashtable.ObjectFactorizer' objects}
      270    0.002    0.000   18.152    0.067 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:641(__init__)
       28    0.001    0.000   18.147    0.648 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/construction.py:411(dict_to_mgr)
       28    2.390    0.085   18.127    0.647 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/construction.py:97(arrays_to_mgr)
       28    0.000    0.000   15.646    0.559 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:2119(create_block_manager_from_column_arrays)
      710    0.003    0.000   12.363    0.017 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py:58(take_nd)
      710    0.011    0.000   12.359    0.017 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
      125    0.003    0.000   12.336    0.099 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:683(reindex_indexer)
      534    0.003    0.000   12.319    0.023 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:926(take_nd)
       51    0.024    0.000   10.678    0.209 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:1823(_consolidate_inplace)
        8    0.000    0.000   10.653    1.332 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:2262(_consolidate)
       18    6.971    0.387   10.651    0.592 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:2279(_merge_blocks)
       96    0.008    0.000    8.558    0.089 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:929(take)
       65    0.001    0.000    7.794    0.120 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/generic.py:3911(_take)
       61    0.000    0.000    7.486    0.123 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/generic.py:3940(_take_with_is_copy)
      312    0.007    0.000    6.111    0.020 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:3713(__getitem__)
       13    0.001    0.000    5.864    0.451 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/merge.py:749(_reindex_and_concat)
       48    0.002    0.000    5.127    0.107 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:768(_slice_take_blocks_ax0)
       28    0.001    0.000    5.085    0.182 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:2191(_form_blocks)
       58    4.216    0.073    5.082    0.088 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:2249(_stack_arrays)
      134    4.972    0.037    4.972    0.037 {pandas._libs.algos.take_2d_axis0_object_object}
       76    4.678    0.062    4.678    0.062 {pandas._libs.algos.take_2d_axis1_object_object}
        4    0.022    0.006    3.758    0.940 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:6274(dropna)
       11    3.679    0.334    3.679    0.334 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/numpy/core/shape_base.py:219(vstack)
        1    0.173    0.173    3.156    3.156 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:9(perform_task_1)
        5    0.161    0.032    2.904    0.581 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:34(get_top_n_movies_per_country)
       26    2.823    0.109    2.823    0.109 {method 'factorize' of 'pandas._libs.hashtable.Int64Factorizer' objects}
     2321    2.319    0.001    2.319    0.001 {built-in method numpy.empty}
        1    0.091    0.091    2.301    2.301 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:212(perform_task_3)
    25702    0.018    0.000    2.230    0.000 <frozen codecs>:319(decode)
    25702    2.212    0.000    2.212    0.000 {built-in method _codecs.utf_8_decode}
       31    0.009    0.000    2.177    0.070 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:6709(sort_values)
        1    0.011    0.011    2.128    2.128 /Users/martasolarz/Studies/project/film_ranking/data_analysis/data_processing.py:120(filter_years)
       31    0.000    0.000    2.007    0.065 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:3786(_getitem_bool_array)
      524    1.999    0.004    1.999    0.004 {method 'copy' of 'numpy.ndarray' objects}
      239    0.001    0.000    1.985    0.008 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:534(copy)
       31    0.000    0.000    1.969    0.064 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/concat.py:149(concat)
       31    0.000    0.000    1.958    0.063 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/concat.py:565(get_result)
       14    0.000    0.000    1.947    0.139 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/concat.py:176(concatenate_managers)
       14    0.001    0.000    1.947    0.139 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/concat.py:255(_concat_managers_axis0)
      350    0.002    0.000    1.706    0.005 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/indexing.py:1089(__getitem__)
    82/81    0.036    0.000    1.676    0.021 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/algorithms.py:596(factorize)
        3    0.009    0.003    1.673    0.558 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/indexing.py:1309(_getitem_axis)
        3    0.000    0.000    1.664    0.555 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/indexing.py:1117(_getbool_axis)
      245    0.001    0.000    1.630    0.007 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:306(apply)
      457    0.004    0.000    1.619    0.004 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:352(notna)
        5    0.059    0.012    1.605    0.321 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:266(calculate_career_progression)
1282/1275    0.001    0.000    1.602    0.001 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:106(isna)
1282/1275    0.001    0.000    1.601    0.001 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:189(_isna)
      279    0.087    0.000    1.597    0.006 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:266(_isna_array)
       18    0.000    0.000    1.527    0.085 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:323(apply)
      155    0.000    0.000    1.509    0.010 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:307(_isna_string_dtype)
      155    1.509    0.010    1.509    0.010 {built-in method pandas._libs.missing.isnaobj}
        4    0.000    0.000    1.502    0.376 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:6225(isna)
        4    0.000    0.000    1.502    0.376 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/base.py:140(isna)
       81    0.002    0.000    1.489    0.018 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/algorithms.py:534(factorize_array)
       12    1.423    0.119    1.423    0.119 {pandas._libs.join.inner_join}
       10    0.038    0.004    1.388    0.139 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/sorting.py:304(lexsort_indexer)
        1    0.116    0.116    1.297    1.297 /Users/martasolarz/Studies/project/film_ranking/data_analysis/data_processing.py:202(clean)
       13    0.121    0.009    1.146    0.088 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/series.py:5333(isin)
       61    1.127    0.018    1.127    0.018 {method 'factorize' of 'pandas._libs.hashtable.StringHashTable' objects}
       13    0.749    0.058    1.023    0.079 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/algorithms.py:443(isin)
      117    0.774    0.007    0.774    0.007 {pandas._libs.algos.take_2d_axis0_float64_float64}
