         654801 function calls (647944 primitive calls) in 280.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.001    0.000  193.510   24.189 /Users/martasolarz/Studies/project/film_ranking/data_analysis/data_processing.py:9(load_data)
        8    0.001    0.000  193.509   24.189 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/parsers/readers.py:814(read_csv)
        8    2.619    0.327  193.508   24.189 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/parsers/readers.py:540(_read)
        8    0.001    0.000  190.863   23.858 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1688(read)
        8    0.001    0.000  169.491   21.186 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
        8  167.209   20.901  169.489   21.186 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
        1    0.912    0.912   79.892   79.892 /Users/martasolarz/Studies/project/film_ranking/data_analysis/data_processing.py:37(process_data_and_merge)
        1    1.253    1.253   62.846   62.846 /Users/martasolarz/Studies/project/film_ranking/data_analysis/data_processing.py:172(merge_data)
       13    0.048    0.004   61.614    4.740 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:9824(merge)
       13    0.036    0.003   61.566    4.736 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/merge.py:131(merge)
       13    2.543    0.196   61.283    4.714 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/merge.py:805(get_result)
       13    0.001    0.000   46.403    3.569 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/merge.py:1042(_get_join_info)
       13    0.054    0.004   46.402    3.569 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/merge.py:1036(_get_join_indexers)
       13    0.091    0.007   46.347    3.565 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/merge.py:1619(get_join_indexers)
       28    0.628    0.022   44.086    1.574 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/merge.py:2312(_factorize_keys)
       28    0.401    0.014   40.997    1.464 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/merge.py:1661(<genexpr>)
       26   40.082    1.542   40.082    1.542 {method 'factorize' of 'pandas._libs.hashtable.ObjectFactorizer' objects}
      269    0.003    0.000   21.398    0.080 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:641(__init__)
       27    0.001    0.000   21.388    0.792 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/construction.py:411(dict_to_mgr)
       27    2.305    0.085   21.365    0.791 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/construction.py:97(arrays_to_mgr)
      710    0.010    0.000   20.872    0.029 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/array_algos/take.py:58(take_nd)
      125    0.003    0.000   20.863    0.167 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:683(reindex_indexer)
      710    0.007    0.000   20.861    0.029 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
      534    0.013    0.000   20.837    0.039 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/blocks.py:926(take_nd)
       27    0.000    0.000   18.992    0.703 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2119(create_block_manager_from_column_arrays)
       96    0.007    0.000   13.782    0.144 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:929(take)
       80    0.002    0.000   13.313    0.166 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:747(<listcomp>)
       65    0.003    0.000   12.665    0.195 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/generic.py:3911(_take)
       13    0.002    0.000   12.331    0.949 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/merge.py:749(_reindex_and_concat)
       50    0.028    0.001   12.146    0.243 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:1823(_consolidate_inplace)
        8    0.000    0.000   12.117    1.515 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2262(_consolidate)
       18    7.978    0.443   12.116    0.673 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2279(_merge_blocks)
       61    0.001    0.000   12.049    0.198 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/generic.py:3940(_take_with_is_copy)
       76    9.266    0.122    9.266    0.122 {pandas._libs.algos.take_2d_axis1_object_object}
      312    0.009    0.000    9.189    0.029 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:3713(__getitem__)
       48    0.005    0.000    7.546    0.157 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:768(_slice_take_blocks_ax0)
      134    7.179    0.054    7.179    0.054 {pandas._libs.algos.take_2d_axis0_object_object}
       27    0.004    0.000    7.020    0.260 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2191(_form_blocks)
       58    5.170    0.089    7.013    0.121 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2249(_stack_arrays)
        4    0.010    0.002    5.650    1.412 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:6274(dropna)
      524    4.989    0.010    4.989    0.010 {method 'copy' of 'numpy.ndarray' objects}
      239    0.002    0.000    4.965    0.021 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/blocks.py:534(copy)
       31    0.001    0.000    4.946    0.160 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/concat.py:149(concat)
       31    0.001    0.000    4.922    0.159 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/concat.py:565(get_result)
