Country Name,Country GdpPerPopulation Rank,Weak Impact Rank,Strong Impact Rank,Weak Hegemony Indicator,Strong Hegemony Indicator
Afghanistan,163,117,33,46,130
Albania,91,64,78,27,13
Algeria,118,76,38,42,80
American Samoa,54,181,188,-127,-134
Andorra,15,150,141,-135,-126
Angola,172,136,51,36,121
Antigua and Barbuda,58,163,96,-105,-38
Argentina,70,22,125,48,-55
Armenia,181,85,146,96,35
Aruba,46,108,175,-62,-129
Australia,47,6,169,41,-122
Austria,33,54,93,-21,-60
Azerbaijan,64,61,50,3,14
Bahamas,26,110,143,-84,-117
Bahrain,63,148,110,-85,-47
Bangladesh,178,81,60,97,118
Barbados,48,155,19,-107,29
Belarus,139,69,100,70,39
Belgium,10,62,103,-52,-93
Belize,82,173,189,-91,-107
Benin,179,86,37,93,142
Bermuda,4,135,190,-131,-186
Bhutan,161,120,28,41,133
Bolivia (Plurinational State of),132,72,154,60,-22
Bosnia and Herzegovina,138,65,130,73,8
Botswana,80,188,186,-108,-106
Brazil,109,7,162,102,-53
Brunei Darussalam,14,151,183,-137,-169
Bulgaria,72,19,147,53,-75
Burkina Faso,168,93,67,75,101
Burundi,191,182,24,9,167
Cabo Verde,125,164,170,-39,-45
Cambodia,188,115,56,73,132
Cameroon,145,78,66,67,79
Canada,34,4,165,30,-131
Chad,157,134,40,23,117
Chile,65,50,104,15,-39
China,144,40,118,104,26
Colombia,117,53,107,64,10
Comoros,136,192,187,-56,-51
Congo,120,95,61,25,59
"Congo, Democratic Republic of the",190,139,30,51,160
Costa Rica,60,74,116,-14,-56
Croatia,84,36,88,48,-4
Cuba,73,79,57,-6,16
Cyprus,39,124,102,-85,-63
Czechia,75,32,119,43,-44
Côte d'Ivoire,134,98,82,36,52
Denmark,7,49,97,-42,-90
Djibouti,111,165,85,-54,26
Dominica,61,171,1,-110,60
Dominican Republic,94,75,112,19,-18
Ecuador,128,29,137,99,-9
Egypt,140,34,122,106,18
El Salvador,107,89,68,18,39
Equatorial Guinea,51,194,192,-143,-141
Eritrea,186,180,182,6,4
Estonia,88,43,98,45,-10
Eswatini,95,179,171,-84,-76
Ethiopia,183,130,7,53,176
Faroe Islands,41,157,160,-116,-119
Fiji,99,168,178,-69,-79
Finland,32,39,124,-7,-92
France,35,8,150,27,-115
Gabon,89,154,123,-65,-34
Georgia,156,60,35,96,121
Germany,36,5,168,31,-132
Ghana,142,132,15,10,127
Greece,52,14,135,38,-83
Greenland,40,125,72,-85,-32
Grenada,77,184,193,-107,-116
Guam,24,160,179,-136,-155
Guatemala,113,88,99,25,14
Guinea,175,149,72,26,103
Guinea-Bissau,167,161,79,6,88
Guyana,101,174,40,-73,61
Haiti,184,142,11,42,173
Honduras,150,128,85,22,65
Hong Kong,31,38,127,-7,-96
Hungary,98,13,152,85,-54
Iceland,8,63,76,-55,-68
India,180,15,158,165,22
