Country Name,Country Gdp Rank,Weak Impact Rank,Strong Impact Rank,Weak Hegemony Indicator,Strong Hegemony Indicator
Afghanistan,90,117,33,-27,57
Albania,108,64,78,44,30
Algeria,59,76,38,-17,21
American Samoa,188,181,188,7,0
Andorra,158,150,141,8,17
Angola,129,136,51,-7,78
Antigua and Barbuda,184,163,96,21,88
Argentina,24,22,125,2,-101
Armenia,175,85,146,90,29
Aruba,170,108,175,62,-5
Australia,18,6,169,12,-151
Austria,29,54,93,-25,-64
Azerbaijan,53,61,50,-8,3
Bahamas,118,110,143,8,-25
Bahrain,148,148,110,0,38
Bangladesh,62,81,60,-19,2
Barbados,141,155,19,-14,122
Belarus,103,69,100,34,3
Belgium,15,62,103,-47,-88
Belize,169,173,189,-4,-20
Benin,168,86,37,82,131
Bermuda,130,135,190,-5,-60
Bhutan,191,120,28,71,163
Bolivia (Plurinational State of),95,72,154,23,-59
Bosnia and Herzegovina,134,65,130,69,4
Botswana,100,188,186,-88,-86
Brazil,14,7,162,7,-148
Brunei Darussalam,97,151,183,-54,-86
Bulgaria,61,19,147,42,-86
Burkina Faso,122,93,67,29,55
Burundi,163,182,24,-19,139
Cabo Verde,181,164,170,17,11
Cambodia,160,115,56,45,104
Cameroon,109,78,66,31,43
Canada,8,4,165,4,-157
Chad,125,134,40,-9,85
Chile,39,50,104,-11,-65
China,5,40,118,-35,-113
Colombia,46,53,107,-7,-61
Comoros,176,192,187,-16,-11
Congo,120,95,61,25,59
"Congo, Democratic Republic of the",102,139,30,-37,72
Costa Rica,63,74,116,-11,-53
Croatia,85,36,88,49,-3
Cuba,52,79,57,-27,-5
Cyprus,81,124,102,-43,-21
Czechia,57,32,119,25,-62
Côte d'Ivoire,74,98,82,-24,-8
Denmark,21,49,97,-28,-76
Djibouti,157,165,85,-8,72
Dominica,189,171,1,18,188
Dominican Republic,69,75,112,-6,-43
Ecuador,83,29,137,54,-54
Egypt,47,34,122,13,-75
El Salvador,93,89,68,4,25
Equatorial Guinea,99,194,192,-95,-93
Eritrea,186,180,182,6,4
Estonia,133,43,98,90,35
Eswatini,146,179,171,-33,-25
Ethiopia,79,130,7,-51,72
Faroe Islands,183,157,160,26,23
Fiji,154,168,178,-14,-24
Finland,37,39,124,-2,-87
France,6,8,150,-2,-144
Gabon,138,154,123,-16,15
Georgia,153,60,35,93,118
Germany,4,5,168,-1,-164
Ghana,76,132,15,-56,61
Greece,35,14,135,21,-100
Greenland,177,125,72,52,105
Grenada,187,184,193,3,-6
Guam,137,160,179,-23,-42
Guatemala,71,88,99,-17,-28
Guinea,152,149,72,3,80
Guinea-Bissau,179,161,79,18,100
Guyana,162,174,40,-12,122
Haiti,167,142,11,25,156
Honduras,132,128,85,4,47
Hong Kong,31,38,127,-7,-96
Hungary,66,13,152,53,-86
Iceland,94,63,76,31,18
India,19,15,158,4,-139
Indonesia,33,44,126,-11,-93
Iran (Islamic Republic of),20,58,176,-38,-156
Iraq,26,116,70,-90,-44
Ireland,45,55,77,-10,-32
Isle of Man,155,122,31,33,124
Israel,41,33,75,8,-34
Italy,7,11,159,-4,-152
Jamaica,143,83,106,60,37
Japan,2,9,156,-7,-154
Jordan,96,119,14,-23,82
Kazakhstan,42,59,81,-17,-39
Kenya,127,114,27,13,100
"Korea, Republic of",11,42,109,-31,-98
Kuwait,34,113,172,-79,-138
Kyrgyzstan,140,97,63,43,77
Lao People's Democratic Republic,91,137,133,-46,-42
Latvia,115,45,108,70,7
Lebanon,72,90,52,-18,20
Lesotho,166,166,58,0,108
Liberia,159,184,163,-25,-4
Libya,56,176,48,-120,8
Liechtenstein,145,104,65,41,80
Lithuania,112,30,105,82,7
Luxembourg,55,71,92,-16,-37
Macao,64,152,34,-88,30
Madagascar,106,172,17,-66,89
Malawi,113,162,26,-49,87
Malaysia,54,70,138,-16,-84
Maldives,161,158,18,3,143
Mali,119,133,43,-14,76
Malta,105,107,144,-2,-39
Marshall Islands,194,188,6,6,188
Mauritania,165,118,62,47,103
Mauritius,131,141,177,-10,-46
Mexico,12,16,151,-4,-139
"Moldova, Republic of",116,80,74,36,42
Monaco,135,96,47,39,88
Mongolia,144,99,95,45,49
Montenegro,150,91,129,59,21
Morocco,43,87,53,-44,-10
Mozambique,111,100,94,11,17
Myanmar,114,126,32,-12,82
Nepal,151,109,23,42,128
Netherlands,17,23,114,-6,-97
New Caledonia,121,187,8,-66,113
New Zealand,30,57,80,-27,-50
Nicaragua,136,147,20,-11,116
Niger,117,146,13,-29,104
Nigeria,13,92,134,-79,-121
North Macedonia,142,68,29,74,113
Norway,32,52,115,-20,-83
Oman,70,159,3,-89,67
Pakistan,58,77,155,-19,-97
"Palestine, State of",128,112,22,16,106
Panama,104,66,45,38,59
Papua New Guinea,87,129,20,-42,67
Paraguay,86,82,101,4,-15
Peru,60,46,120,14,-60
Philippines,51,27,149,24,-98
Poland,16,12,140,4,-124
Portugal,40,17,145,23,-105
Puerto Rico,44,73,90,-29,-46
Qatar,28,138,10,-110,18
Romania,65,31,131,34,-66
Russian Federation,22,3,167,19,-145
Rwanda,164,144,12,20,152
Saint Kitts and Nevis,178,186,174,-8,4
Saint Lucia,174,175,183,-1,-9
Saint Vincent and the Grenadines,185,177,193,8,-8
Samoa,182,156,181,26,1
San Marino,173,192,40,-19,133
Sao Tome and Principe,192,178,180,14,12
Saudi Arabia,9,101,91,-92,-82
Senegal,98,94,54,4,44
Serbia,107,25,113,82,-6
Seychelles,190,192,191,-2,-1
Sierra Leone,139,169,48,-30,91
Singapore,48,26,139,22,-91
Slovakia,77,37,89,40,-12
Slovenia,88,41,71,47,17
Solomon Islands,172,182,185,-10,-13
Somalia,126,123,58,3,68
South Africa,36,24,142,12,-106
Spain,10,10,164,0,-154
Sri Lanka,123,103,46,20,77
Sudan,73,131,25,-58,48
Suriname,156,169,136,-13,20
Sweden,25,21,121,4,-96
Switzerland,23,67,64,-44,-41
Syrian Arab Republic,75,111,55,-36,20
Tajikistan,171,105,44,66,127
"Tanzania, United Republic of",147,145,5,2,142
Thailand,38,35,111,3,-73
Togo,180,167,85,13,95
Tonga,193,127,85,66,108
Trinidad and Tobago,78,140,36,-62,42
Tunisia,110,84,9,26,101
Turkey,27,18,161,9,-134
Turkmenistan,89,102,148,-13,-59
Uganda,80,121,4,-41,76
Ukraine,68,20,128,48,-60
United Arab Emirates,50,47,117,3,-67
United Kingdom of Great Britain,3,2,166,1,-163
United States of America,1,1,153,0,-152
Uruguay,84,48,69,36,15
Uzbekistan,101,51,42,50,59
Venezuela (Bolivarian Republic of),49,56,157,-7,-108
Viet Nam,67,28,132,39,-65
Virgin Islands (U.S.),149,153,173,-4,-24
Yemen,82,106,85,-24,-3
Zambia,92,190,2,-98,90
Zimbabwe,124,143,16,-19,108
