Country Name,Country Population Rank,Weak Impact Rank,Strong Impact Rank,Weak Hegemony Indicator,Strong Hegemony Indicator
Afghanistan,37,117,33,-80,4
Albania,131,64,78,67,53
Algeria,43,76,38,-33,5
American Samoa,189,181,188,8,1
Andorra,184,150,141,34,43
Angola,63,136,51,-73,12
Antigua and Barbuda,182,163,96,19,86
Argentina,31,22,125,9,-94
Armenia,127,85,146,42,-19
Aruba,180,108,175,72,5
Australia,55,6,169,49,-114
Austria,87,54,93,33,-6
Azerbaijan,82,61,50,21,32
Bahamas,166,110,143,56,23
Bahrain,162,148,110,14,52
Bangladesh,10,81,60,-71,-50
Barbados,170,155,19,15,151
Belarus,79,69,100,10,-21
Belgium,70,62,103,8,-33
Belize,168,173,189,-5,-21
Benin,110,86,37,24,73
Bermuda,186,135,190,51,-4
Bhutan,160,120,28,40,132
Bolivia (Plurinational State of),81,72,154,9,-73
Bosnia and Herzegovina,120,65,130,55,-10
Botswana,137,188,186,-51,-49
Brazil,5,7,162,-2,-157
Brunei Darussalam,165,151,183,14,-18
Bulgaria,92,19,147,73,-55
Burkina Faso,59,93,67,-34,-8
Burundi,72,182,24,-110,48
Cabo Verde,163,164,170,-1,-7
Cambodia,75,115,56,-40,19
Cameroon,69,78,66,-9,3
Canada,36,4,165,32,-129
Chad,74,134,40,-60,34
Chile,58,50,104,8,-46
China,1,40,118,-39,-117
Colombia,29,53,107,-24,-78
Comoros,154,192,187,-38,-33
Congo,119,95,61,24,58
"Congo, Democratic Republic of the",22,139,30,-117,-8
Costa Rica,112,74,116,38,-4
Croatia,118,36,88,82,30
Cuba,71,79,57,-8,14
Cyprus,148,124,102,24,46
Czechia,78,32,119,46,-41
Côte d'Ivoire,53,98,82,-45,-29
Denmark,104,49,97,55,7
Djibouti,151,165,85,-14,66
Dominica,185,171,1,14,184
Dominican Republic,83,75,112,8,-29
Ecuador,67,29,137,38,-70
Egypt,16,34,122,-18,-106
El Salvador,100,89,68,11,32
Equatorial Guinea,152,194,192,-42,-40
Eritrea,136,180,182,-44,-46
Estonia,146,43,98,103,48
Eswatini,149,179,171,-30,-22
Ethiopia,12,130,7,-118,5
Faroe Islands,191,157,160,34,31
Fiji,153,168,178,-15,-25
Finland,109,39,124,70,-15
France,21,8,150,13,-129
Gabon,150,154,123,-4,27
Georgia,115,60,35,55,80
Germany,15,5,168,10,-153
Ghana,42,132,15,-90,27
Greece,73,14,135,59,-62
Greenland,187,125,72,62,115
Grenada,176,184,193,-8,-17
Guam,175,160,179,15,-4
Guatemala,65,88,99,-23,-34
Guinea,89,149,72,-60,17
Guinea-Bissau,144,161,79,-17,65
Guyana,155,174,40,-19,115
Haiti,91,142,11,-51,80
Honduras,97,128,85,-31,12
Hong Kong,96,38,127,58,-31
Hungary,77,13,152,64,-75
Iceland,169,63,76,106,93
India,2,15,158,-13,-156
Indonesia,4,44,126,-40,-122
Iran (Islamic Republic of),17,58,176,-41,-159
Iraq,32,116,70,-84,-38
Ireland,123,55,77,68,46
Isle of Man,181,122,31,59,150
Israel,101,33,75,68,26
Italy,23,11,159,12,-136
Jamaica,138,83,106,55,32
Japan,9,9,156,0,-147
Jordan,98,119,14,-21,84
Kazakhstan,61,59,81,2,-20
Kenya,44,114,27,-70,17
"Korea, Republic of",27,42,109,-15,-82
Kuwait,117,113,172,4,-55
Kyrgyzstan,105,97,63,8,42
Lao People's Democratic Republic,93,137,133,-44,-40
Latvia,139,45,108,94,31
Lebanon,111,90,52,21,59
Lesotho,140,166,58,-26,82
Liberia,116,184,163,-68,-47
Libya,99,176,48,-77,51
Liechtenstein,192,104,65,88,127
Lithuania,126,30,105,96,21
Luxembourg,158,71,92,87,66
Macao,159,152,34,7,125
Madagascar,40,172,17,-132,23
Malawi,54,162,26,-108,28
Malaysia,50,70,138,-20,-88
Maldives,167,158,18,9,149
Mali,62,133,43,-71,19
Malta,164,107,144,57,20
Marshall Islands,188,188,6,0,182
Mauritania,132,118,62,14,70
