Director,First Average Rating,Last Average Rating,Career Progression Rating
Maria Ramos,1.6000000000000003,7.2,5.6
Sam B. Lorn,2.9,8.266666666666667,5.366666666666667
Brian Ide,3.0,8.066666666666668,5.066666666666668
Milos Avramovic,2.9,7.900000000000001,5.000000000000002
Vibeke Løkkeberg,2.966666666666667,7.900000000000001,4.9333333333333345
Dav Kaufman,3.9,8.766666666666666,4.866666666666665
Michael Rissi,2.4,7.266666666666666,4.866666666666665
Juan Miñón,2.2,7.0,4.8
Jim Donovan,4.9,9.7,4.799999999999999
Scott Mabbutt,3.6,8.366666666666667,4.7666666666666675
Natsuki Seta,1.3999999999999997,6.0,4.6000000000000005
Patrick Desmarattes,2.1,6.7,4.6
Shahriyar Latifzadeh,3.0,7.599999999999999,4.599999999999999
Bob Misiorowski,3.5,8.0,4.5
Nathan Apffel,3.6,8.1,4.5
Aash Aaron,2.6,7.099999999999999,4.499999999999998
Massimo Mazzucco,3.7000000000000006,8.2,4.499999999999998
Yutaka Ikejima,4.0,8.466666666666667,4.466666666666667
Ken Carpenter,2.733333333333333,7.2,4.466666666666667
Leonardo Araneo,3.0,7.366666666666667,4.366666666666667
Jason D. Morris,3.4,7.7,4.300000000000001
Lawrence Kasanoff,1.3,5.599999999999999,4.299999999999999
David Noel Bourke,2.7999999999999994,7.099999999999999,4.299999999999999
Finlay Bald,3.233333333333333,7.433333333333333,4.199999999999999
Rel Dowdell,4.866666666666666,9.0,4.133333333333334
Gil Baroni,2.7999999999999994,6.900000000000001,4.100000000000001
James Balsamo,2.5,6.6000000000000005,4.1000000000000005
Jeff Hathcock,3.2999999999999994,7.3999999999999995,4.1
Allan Harmon,2.9,7.0,4.1
Haiqiang Ning,4.0,8.1,4.1
James Plumb,2.5,6.533333333333334,4.033333333333334
Adam Rehmeier,3.4,7.400000000000001,4.000000000000002
William Shatner,2.7999999999999994,6.8,4.0
Vigen Chaldranyan,4.366666666666667,8.366666666666667,4.0
Charlie Vaughn,2.2,6.2,4.0
Derek Presley,2.3,6.3,4.0
J. Jesses Smith,3.4,7.3999999999999995,3.9999999999999996
Dino Mustafic,3.7000000000000006,7.7,3.9999999999999996
Matthew Warchus,4.7,8.7,3.999999999999999
Michael J. Sarna,3.5,7.466666666666666,3.966666666666666
Vito Trabucco,4.5,8.433333333333334,3.9333333333333336
Andrey Nekrasov,3.2999999999999994,7.2,3.900000000000001
Jo Tae-ho,4.4,8.3,3.9000000000000004
Kah-Wai Lim,2.6333333333333333,6.5,3.8666666666666667
James Yukich,3.9,7.766666666666666,3.866666666666666
Yuri Zeltser,5.0,8.8,3.8000000000000007
Tim Pope,4.6,8.4,3.8000000000000007
Tom Stout,2.4,6.2,3.8000000000000003
Joel Soisson,3.5,7.3,3.8
Raimund Huber,4.7,8.5,3.8
Joey Travolta,3.7000000000000006,7.5,3.7999999999999994
Jeremiah Cullinane,4.9,8.7,3.799999999999999
Julian Grant,3.2999999999999994,7.066666666666666,3.766666666666667
Vince DiPersio,4.5,8.266666666666666,3.7666666666666657
Amit Ravindernath Sharma,4.2,7.900000000000001,3.700000000000001
Bülent Isbilen,1.3999999999999997,5.1000000000000005,3.700000000000001
Mike B. Anderson,5.1,8.8,3.700000000000001
Nathan Frankowski,3.7000000000000006,7.400000000000001,3.7000000000000006
Timur Bekmambetov,3.0,6.7,3.7
Philip Granger,3.0,6.7,3.7
Tucky Williams,2.4,6.099999999999999,3.699999999999999
Gene Blalock,3.4,7.099999999999999,3.699999999999999
Eduardo Montes-Bradley,3.5,7.166666666666667,3.666666666666667
Georges Chamchoum,5.466666666666666,9.133333333333333,3.666666666666667
Mazen Khaled,2.7999999999999994,6.400000000000001,3.600000000000002
Diego Rocha,4.3,7.900000000000001,3.6000000000000014
Mehrdad Ghafarzadeh,2.8000000000000003,6.400000000000001,3.600000000000001
Vitaliy Versace,1.3,4.9,3.6000000000000005
Michael Schroeder,3.4,7.0,3.6
Marina Martins,3.6,7.2,3.6
Bill Fishman,2.6,6.2,3.6
Jamal Shoorje,1.7,5.3,3.5999999999999996
Cameron Pearson,2.2,5.8,3.5999999999999996
Adam Simcox,4.4,8.0,3.5999999999999996
Shaun Paul Piccinino,2.2,5.8,3.5999999999999996
Rupesh Paul,3.0,6.566666666666666,3.5666666666666664
Andrew Putschoegl,3.9,7.466666666666666,3.566666666666666
Carlitos Landeo,3.6999999999999997,7.2,3.5000000000000004
Edgar Honetschläger,4.566666666666666,8.066666666666666,3.5
Michael Budd,3.5,7.0,3.5
Christophe Lamot,4.6,8.1,3.5
Ben Gregor,4.9,8.4,3.5
Shinju Funabiki,1.8,5.3,3.5
Katherine Brooks,4.233333333333333,7.733333333333333,3.5
Zak Knutson,3.7000000000000006,7.2,3.4999999999999996
Adam Bernstein,2.7000000000000006,6.2,3.4999999999999996
Jigs Recto,6.333333333333333,9.8,3.4666666666666677
Victor Lopes,4.266666666666667,7.733333333333333,3.466666666666667
John Campea,4.666666666666667,8.1,3.4333333333333327
Emmanuel Itier,2.7000000000000006,6.133333333333333,3.4333333333333322
Lyndon Chubbuck,3.2999999999999994,6.7,3.400000000000001
Jung-min Kim,4.1,7.5,3.4000000000000004
Travis Legge,3.3666666666666667,6.766666666666667,3.4
