Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
Todd Phillips,18307347,93896800,75589453
Denis Villeneuve,8538123,72022256,63484133
Bong Joon Ho,13986244,72415890,58429646
Alfonso Cuarón,4486898,57735035,53248137
Alejandro G. Iñárritu,25429962,77450829,52020867
James Mangold,12461504,62855354,50393850
Rian Johnson,23447101,73260419,49813318
Peyton Reed,9028980,58428345,49399365
Wes Anderson,19287452,51950156,32662704
Peter Jackson,8839248,41453398,32614150
Scott Derrickson,16937454,46134820,29197366
Jake Kasdan,7166492,35994735,28828243
Joe Johnston,21196537,48771808,27575271
Guillermo del Toro,5448243,32099584,26651341
Matthew Vaughn,25996753,52343100,26346347
James Cameron,79214472,100826902,21612430
J.J. Abrams,49299935,70677780,21377845
Louis Leterrier,23162575,44219088,21056513
Nicolas Winding Refn,2445121,22437857,19992736
David Ayer,14101343,34089552,19988209
James Wan,27075608,46898000,19822392
Wolfgang Petersen,8646260,28418775,19772515
Baz Luhrmann,20075554,39678128,19602574
Jon M. Chu,8130784,25663350,17532566
Luca Guadagnino,1597570,18688696,17091126
Susanne Bier,745172,17448864,16703692
Bill Condon,3982149,20574250,16592101
Justin Lin,18847276,34909673,16062397
Stephen Sommers,2304313,18245164,15940851
Noah Baumbach,4065917,19818662,15752745
David Mackenzie,1421533,16351486,14929953
David O. Russell,9213296,23877961,14664665
Matt Reeves,23220230,37877012,14656782
Tony Scott,7736480,22390554,14654074
Jonathan Liebesman,6450003,20839259,14389256
Kathryn Bigelow,11815594,25906068,14090474
James Gray,4795890,18854810,14058920
Spike Jonze,26705080,40462465,13757385
Jean-Marc Vallée,3727310,17467227,13739917
Mikael Håfström,4242710,17591302,13348592
Mike Nichols,4159098,17397004,13237906
Ang Lee,4306215,17392302,13086087
Sam Raimi,12955182,25433825,12478643
Yorgos Lanthimos,9216051,21242467,12026416
Ridley Scott,9151341,19812700,10661359
Spike Lee,4922266,15494565,10572299
Gavin O'Connor,7447547,17932468,10484921
Jon Turteltaub,7606584,17755889,10149305
Baltasar Kormákur,504296,10417287,9912991
Barry Sonnenfeld,12093995,21381644,9287649
Marc Forster,13986244,23273256,9287012
Mike Flanagan,8596038,17716275,9120237
Harald Zwart,2952979,12020866,9067887
Kenneth Branagh,3470366,12501198,9030832
F. Gary Gray,11130924,20011079,8880155
Ben Stiller,16829100,25532509,8703409
Jon Favreau,19227744,27775600,8547856
John Singleton,6246738,14518672,8271934
Michael Apted,1351519,9150483,7798964
Olivier Megaton,11238605,18785646,7547041
Thomas Vinterberg,4167461,11697500,7530039
Russell Mulcahy,2083263,9494559,7411296
Martin Campbell,12979490,20242172,7262682
Niki Caro,3425175,10262164,6836989
Shawn Levy,5806770,12488295,6681525
David Lynch,11834670,18383704,6549034
Ken Kwapis,2624862,9115393,6490531
Ron Howard,6553847,13029733,6475886
Oliver Parker,1510764,7860721,6349957
Curtis Hanson,6967299,12905250,5937951
Phillip Noyce,8016504,13926300,5909796
Todd Haynes,3205279,9062150,5856871
Alexander Payne,8804938,14628692,5823754
Lee Tamahori,4595072,10359880,5764808
Lars von Trier,4820287,10468687,5648400
Ivan Reitman,10412647,15947243,5534596
Sidney Lumet,644011,6146383,5502372
John Moore,8434667,13801686,5367019
