,Country Name,Country GDP per Population Rank,Weak Impact Rank,Strong Impact Rank,Weak Hegemony Indicator,Strong Hegemony Indicator
0,Afghanistan,194,116,36,78,158
1,Albania,163,64,69,99,94
2,Algeria,102,78,42,24,60
3,American Samoa,48,185,193,-137,-145
4,Andorra,14,152,150,-138,-136
5,Angola,169,136,50,33,119
6,Antigua and Barbuda,54,165,102,-111,-48
7,Argentina,66,22,126,44,-60
8,Armenia,166,85,149,81,17
9,Aruba,38,109,181,-71,-143
10,Australia,39,6,173,33,-134
11,Austria,26,54,95,-28,-69
12,Azerbaijan,131,62,53,69,78
13,Bahamas,24,111,148,-87,-124
14,Bahrain,62,147,104,-85,-42
15,Bangladesh,181,73,68,108,113
16,Barbados,42,156,28,-114,14
17,Belarus,145,68,103,77,42
18,Belgium,34,61,101,-27,-67
19,Belize,74,173,183,-99,-109
20,Benin,177,86,47,91,130
21,Bermuda,1,139,188,-138,-187
22,Bhutan,157,121,31,36,126
23,Bolivia (Plurinational State of),149,72,161,77,-12
24,Bosnia and Herzegovina,125,65,135,60,-10
25,Botswana,71,193,190,-122,-119
26,Brazil,88,9,164,79,-76
27,Brunei Darussalam,7,153,175,-146,-168
28,Bulgaria,114,21,153,93,-39
29,Burkina Faso,179,92,62,87,117
30,Burundi,190,186,24,4,166
31,Cabo Verde,108,168,176,-60,-68
32,Cambodia,187,117,59,70,128
33,Cameroon,135,81,77,54,58
34,Canada,27,4,167,23,-140
35,Chad,156,138,63,18,93
36,Chile,46,50,105,-4,-59
37,China,137,40,123,97,14
38,Colombia,100,53,107,47,-7
39,Comoros,122,195,192,-73,-70
40,Congo,148,97,73,51,75
41,"Congo, Democratic Republic of the",189,135,29,54,160
42,Costa Rica,113,76,116,37,-3
43,Croatia,73,36,85,37,-12
44,Cuba,96,82,61,14,35
45,Cyprus,51,125,106,-74,-55
46,Czechia,68,32,122,36,-54
47,Côte d'Ivoire,144,100,78,44,66
48,Denmark,22,49,97,-27,-75
49,Djibouti,95,169,89,-74,6
50,Dominica,60,175,1,-115,59
51,Dominican Republic,139,77,111,62,28
52,Ecuador,111,29,141,82,-30
53,Egypt,126,34,129,92,-3
54,El Salvador,142,91,92,51,50
55,Equatorial Guinea,57,190,191,-133,-134
56,Eritrea,184,182,186,2,-2
57,Estonia,78,43,100,35,-22
58,Eswatini,83,150,39,-67,44
59,Ethiopia,197,131,8,66,189
60,Faroe Islands,35,159,165,-124,-130
61,Fiji,86,171,182,-85,-96
62,Finland,9,39,128,-30,-119
63,France,28,8,155,20,-127
64,French Polynesia,33,182,47,-149,-14
65,Gabon,79,157,130,-78,-51
66,Gambia,160,195,195,-35,-35
67,Georgia,127,60,37,67,90
68,Germany,29,5,171,24,-142
69,Ghana,175,133,19,42,156
70,Greece,47,15,139,32,-92
71,Greenland,37,126,94,-89,-57
72,Grenada,69,188,196,-119,-127
73,Guam,20,159,178,-139,-158
74,Guatemala,150,88,86,62,64
75,Guinea,171,151,75,20,96
76,Guinea-Bissau,164,163,83,1,81
77,Guyana,89,177,39,-88,50
78,Haiti,182,142,14,40,168
79,Honduras,141,129,91,12,50
80,Hong Kong,6,38,134,-32,-128
81,Hungary,84,13,157,71,-73
82,Iceland,25,63,72,-38,-47
83,India,178,14,163,164,15
84,Indonesia,155,44,131,111,24
85,Iran (Islamic Republic of),104,58,180,46,-76
86,Iraq,130,118,70,12,60
87,Ireland,45,55,76,-10,-31
88,Isle of Man,16,123,34,-107,-18
89,Israel,40,33,80,7,-40
90,Italy,36,11,162,25,-126
91,Jamaica,110,80,110,30,0
92,Japan,17,7,159,10,-142
93,Jordan,82,120,11,-38,71
94,Kazakhstan,118,59,84,59,34
95,Kenya,180,115,32,65,148
96,"Korea, Republic of",18,42,108,-24,-90
97,Kuwait,53,114,174,-61,-121
98,Kyrgyzstan,174,94,58,80,116
99,Lao People's Democratic Republic,146,137,127,9,19
100,Latvia,58,45,113,13,-55
101,Lebanon,129,90,52,39,77
102,Lesotho,136,170,60,-34,76
103,Liberia,161,188,170,-27,-9
104,Libya,52,179,47,-127,5
105,Liechtenstein,4,93,55,-89,-51
106,Lithuania,85,30,109,55,-24
107,Luxembourg,11,71,93,-60,-82
108,Macao,41,149,65,-108,-24
109,Madagascar,173,174,20,-1,153
110,Malawi,162,164,27,-2,135
111,Malaysia,99,70,145,29,-46
112,Maldives,76,154,13,-78,63
113,Mali,185,134,43,51,142
114,Malta,56,108,142,-52,-86
