,Country Name,Country GDP Rank,Weak Impact Rank,Strong Impact Rank,Weak Hegemony Indicator,Strong Hegemony Indicator
0,Afghanistan,139,116,36,23,103
1,Albania,162,64,69,98,93
2,Algeria,44,78,42,-34,2
3,American Samoa,191,185,193,6,-2
4,Andorra,148,152,150,-4,-2
5,Angola,105,136,50,-31,55
6,Antigua and Barbuda,186,165,102,21,84
7,Argentina,21,22,126,-1,-105
8,Armenia,161,85,149,76,12
9,Aruba,168,109,181,59,-13
10,Australia,14,6,173,8,-159
11,Austria,26,54,95,-28,-69
12,Azerbaijan,99,62,53,37,46
13,Bahamas,100,111,148,-11,-48
14,Bahrain,136,147,104,-11,32
15,Bangladesh,64,73,68,-9,-4
16,Barbados,130,156,28,-26,102
17,Belarus,97,68,103,29,-6
18,Belgium,24,61,101,-37,-77
19,Belize,166,173,183,-7,-17
20,Benin,164,86,47,78,117
21,Bermuda,119,139,188,-20,-69
22,Bhutan,194,121,31,73,163
23,Bolivia (Plurinational State of),114,72,161,42,-47
24,Bosnia and Herzegovina,122,65,135,57,-13
25,Botswana,79,193,190,-114,-111
26,Brazil,11,9,164,2,-153
27,Brunei Darussalam,77,153,175,-76,-98
28,Bulgaria,81,21,153,60,-72
29,Burkina Faso,145,92,62,53,83
30,Burundi,155,186,24,-31,131
31,Cabo Verde,183,168,176,15,7
32,Cambodia,153,117,59,36,94
33,Cameroon,87,81,77,6,10
34,Canada,9,4,167,5,-158
35,Chad,109,138,63,-29,46
36,Chile,22,50,105,-28,-83
37,China,7,40,123,-33,-116
38,Colombia,37,53,107,-16,-70
39,Comoros,176,195,192,-19,-16
40,Congo,151,97,73,54,78
41,"Congo, Democratic Republic of the",80,135,29,-55,51
42,Costa Rica,124,76,116,48,8
43,Croatia,71,36,85,35,-14
44,Cuba,67,82,61,-15,6
45,Cyprus,94,125,106,-31,-12
46,Czechia,43,32,122,11,-79
47,Côte d'Ivoire,93,100,78,-7,15
48,Denmark,30,49,97,-19,-67
49,Djibouti,147,169,89,-22,58
50,Dominica,192,175,1,17,191
51,Dominican Republic,113,77,111,36,2
52,Ecuador,70,29,141,41,-71
53,Egypt,38,34,129,4,-91
54,El Salvador,126,91,92,35,34
