,Country Name,Country Population Rank,Weak Impact Rank,Strong Impact Rank,Weak Hegemony Indicator,Strong Hegemony Indicator
0,Afghanistan,46,116,36,-70,10
1,Albania,124,64,69,60,55
2,Algeria,39,78,42,-39,-3
3,American Samoa,192,185,193,7,-1
4,Andorra,185,152,150,33,35
5,Angola,59,136,50,-77,9
6,Antigua and Barbuda,186,165,102,21,84
7,Argentina,32,22,126,10,-94
8,Armenia,119,85,149,34,-30
9,Aruba,183,109,181,74,2
10,Australia,52,6,173,46,-121
11,Austria,84,54,95,30,-11
12,Azerbaijan,93,62,53,31,40
13,Bahamas,168,111,148,57,20
14,Bahrain,162,147,104,15,58
15,Bangladesh,9,73,68,-64,-59
16,Barbados,172,156,28,16,144
17,Belarus,74,68,103,6,-29
18,Belgium,77,61,101,16,-24
19,Belize,170,173,183,-3,-13
20,Benin,106,86,47,20,59
21,Bermuda,189,139,188,50,1
22,Bhutan,161,121,31,40,130
23,Bolivia (Plurinational State of),88,72,161,16,-73
24,Bosnia and Herzegovina,114,65,135,49,-21
25,Botswana,133,193,190,-60,-57
26,Brazil,5,9,164,-4,-159
27,Brunei Darussalam,164,153,175,11,-11
28,Bulgaria,86,21,153,65,-67
29,Burkina Faso,80,92,62,-12,18
30,Burundi,66,186,24,-120,42
31,Cabo Verde,163,168,176,-5,-13
32,Cambodia,68,117,59,-49,9
33,Cameroon,65,81,77,-16,-12
34,Canada,33,4,167,29,-134
35,Chad,70,138,63,-68,7
36,Chile,51,50,105,1,-54
37,China,1,40,123,-39,-122
38,Colombia,30,53,107,-23,-77
39,Comoros,156,195,192,-39,-36
40,Congo,125,97,73,28,52
41,"Congo, Democratic Republic of the",19,135,29,-116,-10
42,Costa Rica,126,76,116,50,10
43,Croatia,112,36,85,76,27
44,Cuba,69,82,61,-13,8
45,Cyprus,155,125,106,30,49
46,Czechia,73,32,122,41,-49
47,Côte d'Ivoire,64,100,78,-36,-14
48,Denmark,105,49,97,56,8
49,Djibouti,152,169,89,-17,63
50,Dominica,188,175,1,13,187
51,Dominican Republic,94,77,111,17,-17
52,Ecuador,63,29,141,34,-78
53,Egypt,15,34,129,-19,-114
54,El Salvador,102,91,92,11,10
55,Equatorial Guinea,146,190,191,-44,-45
56,Eritrea,132,182,186,-50,-54
57,Estonia,145,43,100,102,45
58,Eswatini,151,150,39,1,112
59,Ethiopia,20,131,8,-111,12
60,Faroe Islands,194,159,165,35,29
61,Fiji,154,171,182,-17,-28
62,Finland,104,39,128,65,-24
63,France,17,8,155,9,-138
64,French Polynesia,171,182,47,-11,124
65,Gabon,150,157,130,-7,20
66,Gambia,139,195,195,-56,-56
67,Georgia,107,60,37,47,70
68,Germany,14,5,171,9,-157
69,Ghana,53,133,19,-80,34
70,Greece,67,15,139,52,-72
71,Greenland,190,126,94,64,96
72,Grenada,179,188,196,-9,-17
73,Guam,178,159,178,19,0
